Asunto	PERSONAL	Fecha de comienzo	Comienzo	Fecha de finalización	Finalización	CATEGORIA	Description	Location
Fuerza Explosiva 	MAYOR	6/2/2025	1:00:00 p.m.	6/2/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Fuerza Explosiva 	MAYOR	6/3/2025	1:00:00 p.m.	6/3/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
FBA CAMPO 	MAYOR	6/4/2025	1:00:00 p.m.	6/4/2025	3:00:00 p.m.	CAMPO		Campo Borregos CEM
Fuerza Explosiva 	MAYOR	6/5/2025	1:00:00 p.m.	6/5/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Fuerza Explosiva 	MAYOR	6/6/2025	1:00:00 p.m.	6/6/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Campo FBA 	MAYOR	6/7/2025	8:00:00 a.m.	6/7/2025	10:00:00 a.m.	CAMPO		Campo FBA
Fuerza Explosiva 	MAYOR	6/9/2025	1:00:00 p.m.	6/9/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Fuerza Explosiva 	MAYOR	6/10/2025	1:00:00 p.m.	6/10/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
FBA CAMPO 	MAYOR	6/11/2025	1:00:00 p.m.	6/11/2025	3:00:00 p.m.	CAMPO		Campo Borregos CEM
Fuerza Explosiva 	MAYOR	6/12/2025	1:00:00 p.m.	6/12/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Fuerza Explosiva 	MAYOR	6/13/2025	1:00:00 p.m.	6/13/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Campo FBA 	MAYOR	6/14/2025	8:00:00 a.m.	6/14/2025	10:00:00 a.m.	CAMPO		Campo FBA
Fuerza Explosiva 	MAYOR	6/16/2025	1:00:00 p.m.	6/16/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
CAMPO JUV 	JUVENIL	3/22/2025	9:00:00 a.m.	3/22/2025	10:30:00 a.m.	CAMPO	sesión de fotos del equipo por unidades, iniciaremos 9 am.  Fullpads    OFENSA BLANCO - ACCESORIOS AZULES                  DEFENSA AZUL - ACCESORIOS BLANCOS Les comparto cómo quedarían los horarios: 9am  : Sesion individual y por posición en las gradas de visita. 10:35 : Sesión de todo el equipo en el campo . 	Campo FBA
CAMPO JUV 	JUVENIL	3/22/2025	11:00:00 a.m.	3/22/2025	1:00:00 p.m.	CAMPO	FULL PADS 	Campo FBA
Fuerza Explosiva 	MAYOR	6/17/2025	1:00:00 p.m.	6/17/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
FBA CAMPO 	MAYOR	6/18/2025	1:00:00 p.m.	6/18/2025	3:00:00 p.m.	CAMPO		Campo Borregos CEM
Fuerza Explosiva 	MAYOR	6/19/2025	1:00:00 p.m.	6/19/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Ultimo día de clases Prof	MAYOR	6/20/2025	8:00:00 a.m.	6/20/2025	8:30:00 a.m.	ACADEMICO		
Fuerza Explosiva 	MAYOR	6/20/2025	1:00:00 p.m.	6/20/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Campo FBA 	MAYOR	6/21/2025	8:00:00 a.m.	6/21/2025	10:00:00 a.m.	CAMPO		Campo FBA
Primer día de Verano Prof.	MAYOR	6/23/2025	8:00:00 a.m.	6/23/2025	8:30:00 a.m.	ACADEMICO		
FBA CAMPO 	MAYOR	6/23/2025	1:00:00 p.m.	6/26/2025	3:00:00 p.m.	CAMPO		Campo Borregos CEM
Scrimmage 	MAYOR	6/27/2025	7:00:00 p.m.	6/27/2025	11:00:00 p.m.	SCRIMMAGE		Campo Borregos CEM
CAMPO JUV 	JUVENIL	3/20/2025	4:30:00 p.m.	3/20/2025	6:30:00 p.m.	CAMPO	UPPERS	GYM Borregos CEM
CAMPO JUV 	JUVENIL	3/21/2025	4:30:00 p.m.	3/21/2025	6:30:00 p.m.	CAMPO	UPPERS	Campo FBA
Bitácora Seguimiento Académico	COACHES	3/24/2025	12:00:00 a.m.	3/25/2025	12:00:00 a.m.	OFICINA	Tercera Junta con los alumnos. 	
Gym JUV OFENSA /DEFENSA	JUVENIL	3/24/2025	4:30:00 p.m.	3/24/2025	6:30:00 p.m.	S&C	GYM Y HORARIO DE VIDEO DEFINIDO POR TU COACH	Gym Borregos CEM 
CAMPO JUV 	JUVENIL	3/25/2025	4:30:00 p.m.	3/26/2025	6:30:00 p.m.	CAMPO	FULL PADS	Campo FBA
Gym JUV OFENSA /DEFENSA	JUVENIL	3/26/2025	4:30:00 p.m.	3/25/2025	6:30:00 p.m.	S&C	HORARIO DE VIDEO O WALKTHROUGH DEFINIDO POR TU COACH	Gym Borregos CEM 
CAMPO JUV 	JUVENIL	3/27/2025	4:30:00 p.m.	3/28/2025	6:30:00 p.m.	CAMPO	UPPERS	Campo FBA
JUNTA CON VERO PEDRERO	MAYOR	1/28/2025	3:00:00 p.m.	1/28/2025	4:00:00 p.m.	SESION FORMATIVA	Junta especial con la Directora del Campus, ASISTENCIA OBLIGATORIA 	Sala de Alta Dirección
PRESENTACION JUVE 2025	JUVENIL	3/28/2025	4:30:00 p.m.	3/27/2025	6:30:00 p.m.	TEATRO	DRESSCODE FORMAL.  LOGISTICA POR COMPARTIR. 	Gym Borregos CEM 
CAMPO JUV 	JUVENIL	3/29/2025	11:00:00 a.m.	3/28/2025	1:00:00 p.m.	CAMPO	FULL PADS, terminando el entrene dejar casco en almacen. 	Campo FBA
CAMPO JUV 	JUVENIL	3/31/2025	4:30:00 p.m.	3/31/2025	6:30:00 p.m.	CAMPO	Día de SCOUT , Revisa con tú coach si es walkthrough o sólo video.	
CAMPO JUV 	JUVENIL	4/1/2025	4:30:00 p.m.	4/1/2025	6:30:00 p.m.	CAMPO	Uppers	
CAMPO JUV 	JUVENIL	4/2/2025	4:30:00 p.m.	4/2/2025	6:30:00 p.m.	CAMPO	Uppers	
CAMPO JUV 	JUVENIL	4/3/2025	4:30:00 p.m.	4/3/2025	6:30:00 p.m.	CAMPO	Casco	
LOCAL TEC PUE	JUVENIL	4/4/2025	7:00:00 p.m.	4/4/2025	9:30:00 p.m.	GAME DAY JUVENIL	Se envía la logistíca durante la semana.	
ALBERCA 	JUVENIL	4/5/2025	9:00:00 a.m.	4/5/2025	10:00:00 a.m.	ALBERCA	Revisar Reglamento del uso de alberca.	Alberca CEM 
CAMPO JUV 	JUVENIL	4/7/2025	4:00:00 p.m.	4/7/2025	6:30:00 p.m.	CAMPO	4PM VIDEO día de SCOUT, 5PM BAJAMOS A ENTRENAR EN CASCO. 	
CAMPO JUV 	JUVENIL	4/8/2025	5:00:00 p.m.	4/8/2025	6:30:00 p.m.	CAMPO	Uppers	
CAMPO JUV 	JUVENIL	4/9/2025	5:00:00 p.m.	4/9/2025	6:30:00 p.m.	CAMPO	Uppers	
CAMPO JUV 	JUVENIL	4/10/2025	5:00:00 p.m.	4/10/2025	6:30:00 p.m.	CAMPO	Casco	
Visita  UVM LV	JUVENIL	4/11/2025	6:00:00 p.m.	4/11/2025	8:30:00 p.m.	GAME DAY JUVENIL	Entregar tu responsiva desde el lunes. Saldremos 3:30 pm revisa el proceso para faltar a clases. Se envía la logistíca durante la semana. 	
ALBERCA	JUVENIL	4/12/2025	9:00:00 a.m.	4/12/2025	10:00:00 a.m.	ALBERCA	Revisar Reglamento del uso de alberca.	Alberca CEM 
Video, GYM, Práctica FBA	JUVENIL	4/14/2025	8:00:00 a.m.	4/14/2025	11:00:00 a.m.	CAMPO	8 am: Video Defensa Gym Ofensa. \n                                                                                                                                            9 am:Video Ofensa Gym Video. \n                                                                                                                                                 10am TODOS CAMPO CASCO. \n	
Video, GYM, Práctica FBA	JUVENIL	4/15/2025	8:00:00 a.m.	4/15/2025	11:00:00 a.m.	CAMPO	8 am: Video Defensa Gym Ofensa. \n                                                                                                                                            9 am:Video Ofensa Gym Video. \n                                                                                                                                                 10am TODOS CAMPO CASCO. \n	
Video, GYM, Práctica FBA	JUVENIL	4/16/2025	8:00:00 a.m.	4/16/2025	11:00:00 a.m.	CAMPO	8 am: Video Defensa Gym Ofensa. \n                                                                                                                                            9 am:Video Ofensa Gym Video. \n                                                                                                                                                 10am TODOS CAMPO CASCO. \n	
DESCANSO SEMANA SANTA	JUVENIL	4/18/2025	12:01:00 a.m.	4/20/2025	11:59:00 a.m.	ASUETO	Descanso Activo.	
LOCAL TEC MTY	JUVENIL	4/25/2025	7:00:00 p.m			GAME DAY JUVENIL		
Asueto	GENERAL	5/1/2025	12:00:00 a.m.	5/1/2025	11:30:00 p.m.	ASUETO		
VISITA TEC CCM 	JUVENIL	5/2/2025	6:00 PM 			GAME DAY JUVENIL		
CAMPO JUV 	JUVENIL	5/5/2025	4:00:00 p.m.	5/5/2025	6:45:00 p.m.	CAMPO	4PM VIDEO por Unidades.  \n  5PM : Campo Helmet	
CAMPO JUV 	JUVENIL	5/6/2025	4:00:00 p.m.	5/6/2025	6:45:00 p.m.	CAMPO	4PM VIDEO por Unidades.  \n  5PM : Campo Uppers	
CAMPO JUV 	JUVENIL	5/7/2025	4:00:00 p.m.	5/7/2025	6:45:00 p.m.	CAMPO	4PM VIDEO por Unidades.  \n  5PM : Campo Uppers	
CAMPO JUV 	JUVENIL	5/8/2025	4:00:00 p.m.	5/8/2025	6:45:00 p.m.	CAMPO	4PM VIDEO por Unidades.  \n  5PM : Campo Helmet	
Bitácora Seguimiento Académico	COACHES	5/5/2025	12:00:00 a.m.	5/6/2025	12:00:00 a.m.	OFICINA	Primer Junta con los alumnos. 	
CAMPO JUV 	JUVENIL	4/7/2025	5:00:00 p.m.	4/7/2025	6:30:00 p.m.	CAMPO	4PM VIDEO por Unidades.  \n  5PM : Campo Uppers	
CAMPO JUV 	JUVENIL	4/8/2025	5:00:00 p.m.	4/8/2025	6:30:00 p.m.	CAMPO	4PM VIDEO por Unidades.  \n  5PM : Campo Uppers	
CAMPO JUV 	JUVENIL	4/9/2025	5:00:00 p.m.	4/9/2025	6:30:00 p.m.	CAMPO	4PM VIDEO por Unidades.  \n  5PM : Campo Uppers	
CAMPO JUV 	JUVENIL	4/10/2025	5:00:00 p.m.	4/10/2025	6:30:00 p.m.	CAMPO	Casco, jersey de juego, short indicado en dresscode.	
GYM VIDEO Y CAMPO JUV 	JUVENIL	4/21/2025	5:00:00 p.m.	4/21/2025	6:30:00 p.m.	CAMPO	3PM D GYM | O VIDEO  4PM O GYM | D VIDEO .  \n  5PM : Campo Uppers	
CAMPO JUV 	JUVENIL	4/22/2025	5:00:00 p.m.	4/22/2025	6:30:00 p.m.	CAMPO	4PM D VIDEO | 4:30PM O VIDEO .  \n  5PM : Campo Uppers	
CAMPO JUV 	JUVENIL	4/23/2025	5:00:00 p.m.	4/23/2025	6:30:00 p.m.	CAMPO	4PM D VIDEO | 4:30PM O VIDEO.  \n  5PM : Campo Uppers	
CAMPO JUV 	JUVENIL	4/24/2025	5:00:00 p.m.	4/24/2025	6:30:00 p.m.	CAMPO	4PM D VIDEO | 4:30PM O VIDEO.  \n  5PM : Campo  Casco, jersey de juego, short indicado en dresscode.	
Tec Cem vs Tec Mty	JUVENIL	4/25/2025	7:00:00 p.m.	4/25/2025	9:00:00 p.m.	GAME DAY JUVENIL	Se comparte la logística en Whats App	
REVISION MEDICA	JUVENIL	4/26/2025	8:00:00 a.m.	4/26/2025	9:00:00 a.m.		En caso de estar lesionado ir a revisión médica con las doctoras.	Alberca CEM 
ALBERCA	JUVENIL	4/26/2025	9:00:00 a.m.	4/26/2025	10:00:00 a.m.	ALBERCA	Revisar Reglamento del uso de alberca.	Alberca CEM 
GYM VIDEO Y CAMPO JUV 	JUVENIL	4/28/2025	4:00:00 p.m.	4/28/2025	6:30:00 p.m.	CAMPO		
CAMPO JUV 	JUVENIL	4/29/2025	5:00:00 p.m.	4/29/2025	6:30:00 p.m.	CAMPO	4PM D VIDEO | 4:30PM O VIDEO .  \n  5PM : Campo Uppers	
CAMPO JUV 	JUVENIL	4/30/2025	5:00:00 p.m.	4/30/2025	6:30:00 p.m.	CAMPO	4PM D VIDEO | 4:30PM O VIDEO.  \n  5PM : Campo Uppers	
CAMPO JUV 	JUVENIL	5/1/2025	9:00:00 a.m.	5/1/2025	10:30:00 a.m.	CAMPO	Campo  Casco, jersey de juego, short indicado en dresscode.	
Tec Cem vs Tec CCM	JUVENIL	5/2/2025	6:00:00 p.m.	5/2/2025	9:00:00 p.m.	GAME DAY JUVENIL	Se comparte la logística en Whats App	
REVISION MEDICA	JUVENIL	5/3/2025	8:00:00 a.m.	5/3/2025	9:00:00 a.m.		En caso de estar lesionado ir a revisión médica con las doctoras.	Alberca CEM 
ALBERCA	JUVENIL	5/3/2025	9:00:00 a.m.	5/3/2025	10:00:00 a.m.	ALBERCA	Revisar Reglamento del uso de alberca.	Alberca CEM 
Ultimo día de clases Prepa	JUVENIL	5/7/2025	9:00:00 a.m.	5/7/2025	9:30:00 a.m.	ACADEMICO		
VISITA TIGRES CU 	JUVENIL	5/9/2025	5:00:00 p.m	9/5/2025		GAME DAY JUVENIL		
Bitácora Seguimiento Académico	COACHES	5/26/2025	12:00:00 a.m.	5/27/2025	12:00:00 a.m.	OFICINA	Primer Junta con los alumnos. 	
Manejo de Emociones LM y JUV 	GENERAL	5/28/2025	4:00:00 p.m.	5/28/2025	6:00:00 p.m.	SESION FORMATIVA		Por definir 
Verano Prepa 	JUVENIL	6/2/2025	8:00:00 a.m.	6/2/2025	8:30:00 a.m.	ACADEMICO		
Bitácora Seguimiento Académico	COACHES	6/16/2025	12:00:00 a.m.	6/17/2025	12:00:00 a.m.	OFICINA	Primer Junta con los alumnos. 	
Vacaciones 	GENERAL	6/28/2025	12:00:00 a.m.	7/7/2025	12:00:00 a.m.	VACACIONES		Microsoft Teams Meeting
								
LOCAL AGUILAS BLANCAS	JUVENIL	5/16/2025	7:00:00 p.m	5/16/2025		GAME DAY JUVENIL		
