Asunto	PERSONAL	Fecha de comienzo	Comienzo	Fecha de finalización	Finalización	CATEGORIA	Description	Location
Gym JUV OFENSA /DEFENSA	JUVENIL	2/18/2025	4:30:00 p.m.	2/18/2025	6:30:00 p.m.	S&C	HORARIO DE VIDEO O WALKTHROUGH DEFINIDO POR TU COACH	Gym Borregos CEM 
Hipertrofia 	MAYOR	2/21/2025	1:00:00 p.m.	2/21/2025	3:00:00 p.m.	S&C	   Hipertrofia 1 por 3 semanas   	
CAMPO JUV 	JUVENIL	2/19/2025	4:30:00 p.m.	2/19/2025	6:30:00 p.m.	CAMPO	FULL PADS	Campo FBA
Hipertrofia 	MAYOR	2/24/2025	1:00:00 p.m.	2/24/2025	3:00:00 p.m.	S&C	   Hipertrofia 1 por 3 semanas   	
Gym JUV OFENSA /DEFENSA	JUVENIL	2/20/2025	4:30:00 p.m.	2/20/2025	6:30:00 p.m.	S&C	HORARIO DE VIDEO O WALKTHROUGH DEFINIDO POR TU COACH	Gym Borregos CEM 
Hipertrofia 	MAYOR	2/25/2025	1:00:00 p.m.	2/25/2025	3:00:00 p.m.	S&C	   Hipertrofia 1 por 3 semanas   	
CAMPO JUV 	JUVENIL	2/21/2025	4:30:00 p.m.	2/21/2025	6:30:00 p.m.	CAMPO	UPPERS	Campo FBA
Alberca LM 	MAYOR	2/26/2025	1:00:00 p.m.	2/26/2025	3:00:00 p.m.	S&C		Alberca CEM 
CAMPO JUV 	JUVENIL	2/24/2025	4:30:00 p.m.	2/24/2025	7:00:00 p.m.	CAMPO	UPPERS	GYM Borregos CEM
Hipertrofia 	MAYOR	2/27/2025	1:00:00 p.m.	2/27/2025	3:00:00 p.m.	S&C	   Hipertrofia 1 por 3 semanas   	
Gym JUV OFENSA /DEFENSA	JUVENIL	2/25/2025	4:30:00 p.m.	2/25/2025	7:00:00 p.m.	S&C	HORARIO DE VIDEO O WALKTHROUGH DEFINIDO POR TU COACH	Campo FBA
Violencia de Genero 	GENERAL	2/26/2025	3:50:00 p.m.	2/26/2025	6:00:00 p.m.	SESION FORMATIVA	TEATRO CEM 	Por definir 
Hipertrofia 	MAYOR	2/28/2025	1:00:00 p.m.	2/28/2025	3:00:00 p.m.	S&C	   Hipertrofia 1 por 3 semanas   	
CAMPO JUV 	JUVENIL	2/26/2025	5:15:00 p.m.	2/26/2025	6:30:00 p.m.	CAMPO	Campo	
Gym JUV OFENSA /DEFENSA	JUVENIL	2/27/2025	4:30:00 p.m.	2/27/2025	7:00:00 p.m.	S&C	HORARIO DE VIDEO O WALKTHROUGH DEFINIDO POR TU COACH	Gym Borregos CEM 
Preparatorio General Especifico 	MAYOR	3/3/2025	1:00:00 p.m.	3/3/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Sesión Formativa 		3/3/2025	4:00:00 p.m.	3/3/2025	5:00:00 p.m.			Tunel FBA
CAMPO JUV 	JUVENIL	2/28/2025	4:30:00 p.m.	2/28/2025	6:30:00 p.m.	CAMPO	Campo	Campo FBA
Preparatorio General Especifico 	MAYOR	3/4/2025	1:00:00 p.m.	3/4/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Alberca LM 	MAYOR	3/5/2025	1:00:00 p.m.	3/5/2025	3:00:00 p.m.	S&C		Alberca CEM 
Preparatorio General Especifico 	MAYOR	3/6/2025	1:00:00 p.m.	3/6/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Preparatorio General Especifico 	MAYOR	3/7/2025	1:00:00 p.m.	3/7/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Preparatorio General Especifico 	MAYOR	3/10/2025	1:00:00 p.m.	3/10/2025	3:00:00 p.m.	S&C	OFENSA: INSTALACIÓN PASSING CAMP POR UNIDAD (REVISA EL HORARIO CON TU COACH) 	GYM Borregos CEM
Preparatorio General Especifico 	MAYOR	3/11/2025	1:00:00 p.m.	3/11/2025	3:00:00 p.m.	S&C	OFENSA: INSTALACIÓN PASSING CAMP POR UNIDAD (REVISA EL HORARIO CON TU COACH) 	GYM Borregos CEM
Alberca LM 	MAYOR	3/12/2025	1:00:00 p.m.	3/12/2025	3:00:00 p.m.	S&C	OFENSA: INSTALACIÓN PASSING CAMP POR UNIDAD (REVISA EL HORARIO CON TU COACH) 	Alberca CEM 
Preparatorio General Especifico 	MAYOR	3/13/2025	1:00:00 p.m.	3/13/2025	3:00:00 p.m.	S&C	OFENSA: INSTALACIÓN PASSING CAMP POR UNIDAD (REVISA EL HORARIO CON TU COACH) 	GYM Borregos CEM
Preparatorio General Especifico 	MAYOR	3/14/2025	1:00:00 p.m.	3/14/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
PRACTICA COMPARTIDA CHEROKEES	JUVENIL	3/1/2025	11:00:00 a.m.	2/28/2025	1:00:00 p.m.	CAMPO	PRACTICA COMPARTIDA	Campo FBA
PASSING CAMP SKILLS / S&C OL/DL	MAYOR	3/18/2025	1:00:00 p.m.	3/17/2025	3:00:00 p.m.	S&C	SKILLS PASSING CAMP EN CASCO / OL Y DL TRABAJO DE S&C 	GYM Borregos CEM
PASSING CAMP SKILLS / S&C OL/DL	MAYOR	3/21/2025	1:00:00 p.m.	3/18/2025	3:00:00 p.m.	S&C	SKILLS PASSING CAMP EN CASCO / OL Y DL TRABAJO DE S&C 	GYM Borregos CEM
PASSING CAMP SKILLS /S&C OL/DL	MAYOR	3/20/2025	1:00:00 p.m.	3/19/2025	3:00:00 p.m.	S&C	SKILLS PASSING CAMP EN CASCO / OL Y DL TRABAJO DE S&C 	Alberca CEM 
PASSING CAMP SKILLS /S&C OL/DL	MAYOR	3/21/2025	1:00:00 p.m.	3/21/2025	3:00:00 p.m.	S&C	SKILLS PASSING CAMP EN CASCO / OL Y DL TRABAJO DE S&C 	GYM Borregos CEM
PASSING CAMP SKILLS /S&C OL/DL	MAYOR	3/22/2025	9:00:00 a.m.	3/22/2025	11:00:00 a.m.	S&C	SKILLS PASSING CAMP EN CASCO / OL Y DL TRABAJO DE S&C OPCIONAL	Campo Borregos CEM
Preparatorio General Especifico 	MAYOR	3/24/2025	1:00:00 p.m.	3/24/2025	3:00:00 p.m.	S&C	ALTA PRIORIDAD: JUNTA 2 PM EN EL TUNEL 	GYM Borregos CEM
Bitácora Seguimiento Académico	COACHES	3/3/2025	12:00:00 a.m.	3/4/2025	12:00:00 a.m.	OFICINA	Segunda Junta con los alumnos. 	
PASSING CAMP SKILLS /S&C OL/DL	MAYOR	3/25/2025	1:00:00 p.m.	3/25/2025	3:00:00 p.m.	S&C	SKILLS PASSING CAMP EN CASCO / OL Y DL TRABAJO DE S&C 	GYM Borregos CEM
PASSING CAMP SKILLS /S&C OL/DL	MAYOR	3/26/2025	1:00:00 p.m.	3/26/2025	3:00:00 p.m.	S&C	SKILLS PASSING CAMP EN CASCO / OL Y DL TRABAJO DE S&C 	Alberca CEM 
PASSING CAMP SKILLS /S&C OL/DL	MAYOR	3/27/2025	1:00:00 p.m.	3/27/2025	3:00:00 p.m.	S&C	SKILLS PASSING CAMP EN CASCO / OL Y DL TRABAJO DE S&C 	GYM Borregos CEM
Preparatorio General Especifico 	MAYOR	3/28/2025	1:00:00 p.m.	3/28/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
PASSING CAMP SKILLS /S&C OL/DL	MAYOR	3/29/2025	9:00:00 a.m.	3/26/2025	11:00:00 a.m.	S&C	SKILLS PASSING CAMP EN CASCO / OL Y DL TRABAJO DE S&C 	Alberca CEM 
SESIÓN CON CAPITANES OBLIGATORIA	MAYOR	3/29/2025	1:00:00 p.m.	3/26/2025	2:00:00 p.m.	SESION FORMATIVA	Espacio por confirmar, llevar pluma. 	Alberca CEM 
Fuerza Máxima	MAYOR	3/31/2025	1:00:00 p.m.	3/31/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Fuerza Máxima	MAYOR	4/1/2025	1:00:00 p.m.	4/1/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
PRESENTACIÓN Coordinador ST	MAYOR	4/2/2025	1:30:00 p.m.	4/3/2025	2:00:00 p.m.	JUNTA 	Presentación Coach Alan; Aulas 4	Por definr
PRESENTACIÓN Coordinador ST	MAYOR	4/2/2025	2:00:00 p.m.	4/3/2025	3:00:00 p.m.	JUNTA 	Defensa :Cierre de Passing Camp | Ofensa: Junta de inicio Running Camp 	Oficinas FBA
Fuerza Máxima	MAYOR	4/3/2025	1:00:00 p.m.	4/3/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Fuerza Máxima	MAYOR	4/4/2025	1:00:00 p.m.	4/4/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
ALBERCA 	MAYOR	4/5/2025	10:00:00 a.m.	4/5/2025	11:00:00 a.m.	ALBERCA	Revisar Reglamento del uso de alberca.	Alberca CEM 
S&C & Field Drills	MAYOR	4/7/2025	1:00:00 p.m.	4/7/2025	3:00:00 p.m.	S&C	Revisar rutina en apartado de rutinas.	GYM Borregos CEM
OFENSA	MAYOR	4/7/2025	10:00:00 a.m.	4/8/2025	5:00:00 p.m.	OFICINA	Pizarrón install run game, revisa el horario con tu coach de unidad.	GYM Borregos CEM
Sesión Formativa		4/7/2025	4:00:00 p.m.	4/7/2025	5:00:00 p.m.			Tunel FBA
Fuerza Máxima	MAYOR	4/8/2025	1:00:00 p.m.	4/8/2025	3:00:00 p.m.	S&C	Revisar rutina en apartado de rutinas.	GYM Borregos CEM
OFENSA	MAYOR	4/9/2025	1:30:00 p.m.	4/9/2025	3:00:00 p.m.	CAMPO	Ofensa al Campo. 	GYM Borregos CEM
OFENSA	MAYOR	4/10/2025	10:00:00 a.m.	4/10/2025	5:00:00 p.m.	OFICINA	Video install run game, revisa el horario con tu coach de unidad.	GYM Borregos CEM
Fuerza Máxima	MAYOR	4/10/2025	1:00:00 p.m.	4/10/2025	3:00:00 p.m.	S&C	Revisar rutina en apartado de rutinas.	GYM Borregos CEM
Fuerza Máxima	MAYOR	4/11/2025	1:00:00 p.m.	4/11/2025	3:00:00 p.m.	S&C	Revisar rutina en apartado de rutinas.	GYM Borregos CEM
Vacaciones Semana Sat								
Semana Santa 	MAYOR	4/12/2025	12:00:00 a.m.	4/20/2025	11:30:00 p.m.	VACACIONES	Disfruta tus vacaciones, cuidate. 	
CAMPO JUV 	JUVENIL	3/3/2025	4:30:00 p.m.	3/3/2025	6:30:00 p.m.	CAMPO	UPPERS	Campo FBA
Fuerza Máxima 2	MAYOR	4/21/2025	1:00:00 p.m.	4/21/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Práctica FBA 	MAYOR	4/23/2025	1:45:00 p.m.	4/23/2025	3:00:00 p.m.	CAMPO	Short Azul, Ofensa Instal RUN, Defensa EDD's.	
Fuerza Máxima 2	MAYOR	4/22/2025	1:00:00 p.m.	4/22/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Fuerza Máxima 2	MAYOR	4/24/2025	1:00:00 p.m.	4/24/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Fuerza Máxima 2	MAYOR	4/25/2025	1:00:00 p.m.	4/25/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
SPECIAL TEAMS	MAYOR	4/26/2025	9:00:00 a.m.	4/26/2025	10:00:00 a.m.	OFICINA	Video Install Special Teams con Coach Alan.	Alberca CEM 
ALBERCA	MAYOR	4/26/2025	10:00:00 a.m.	4/26/2025	11:00:00 a.m.	ALBERCA	Revisar Reglamento del uso de alberca. | 	Alberca CEM 
Fuerza Máxima 2	MAYOR	4/28/2025	1:00:00 p.m.	4/28/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Fuerza Máxima 2	MAYOR	4/29/2025	1:00:00 p.m.	4/29/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
Campo OFENSA INSTALL RUN / DEFENSA EDD	MAYOR	4/30/2025	1:00:00 p.m.	4/30/2025	3:00:00 p.m.	CAMPO	Short Azul, Ofensa Instal RUN, Defensa EDD's.	GYM Borregos CEM
ASUETO 	MAYOR	5/1/2025	12:00:00 a.m.	5/1/2025	11:59:00 p.m.	ASUETO	NO HAY ACTIVIDADES.	
Gym JUV OFENSA /DEFENSA	JUVENIL	3/4/2025	4:30:00 p.m.	3/4/2025	6:30:00 p.m.	S&C	HORARIO DE VIDEO O WALKTHROUGH DEFINIDO POR TU COACH	Gym Borregos CEM 
Fuerza Máxima 2	MAYOR	5/2/2025	1:00:00 p.m.	5/2/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
SPECIAL TEAMS	MAYOR	5/3/2025	9:00:00 a.m.	5/3/2025	10:00:00 a.m.	OFICINA	Video Install Special Teams con Coach Alan.	Alberca CEM 
ALBERCA	MAYOR	5/3/2025	10:00:00 a.m.	5/3/2025	11:00:00 a.m.	ALBERCA	Revisar Reglamento del uso de alberca. | 	Alberca CEM 
TEST 	MAYOR	5/5/2025	1:00:00 p.m.	5/5/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
CAMPO JUV 	JUVENIL	3/5/2025	4:30:00 p.m.	3/5/2025	6:30:00 p.m.	CAMPO	FULL PADS	Campo FBA
TEST	MAYOR	5/6/2025	1:00:00 p.m.	5/6/2025	3:00:00 p.m.	S&C		GYM Borregos CEM
